Year,Units,age group,sex,typ of victim-suspect relationship,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2014,number,60 years and older,male,,,,,92
2015,number,60 years and older,male,,,,,102
2016,number,60 years and older,male,,,,,127
2017,number,60 years and older,male,,,,,144
2018,number,60 years and older,male,,,,,100
2019,number,60 years and older,male,,,,,95
2020,number,60 years and older,male,,,,,130
2021,number,60 years and older,male,,,,,100
2022,number,60 years and older,male,,,,,98
2023,number,60 years and older,male,,,,,99
2024,number,60 years and older,male,,,,,121
2010,number,,,intimate partner or family member,,,,343
2011,number,,,intimate partner or family member,,,,318
2012,number,,,intimate partner or family member,,,,287
2013,number,,,intimate partner or family member,,,,308
2014,number,,,intimate partner or family member,,,,340
2015,number,,,intimate partner or family member,,,,293
2016,number,,,intimate partner or family member,,,,325
2017,number,,,intimate partner or family member,,,,336
2018,number,,,intimate partner or family member,,,,310
2019,number,,,intimate partner or family member,,,,282
2020,number,,,intimate partner or family member,,,,332
2021,number,,,intimate partner or family member,,,,286
2022,number,,,intimate partner or family member,,,,271
2023,number,,,intimate partner or family member,,,,341
2024,number,,,intimate partner or family member,,,,304
2010,number,,female,intimate partner or family member,,,,232
2011,number,,female,intimate partner or family member,,,,228
2012,number,,female,intimate partner or family member,,,,182
2013,number,,female,intimate partner or family member,,,,224
2014,number,,female,intimate partner or family member,,,,241
2015,number,,female,intimate partner or family member,,,,210
2016,number,,female,intimate partner or family member,,,,238
2017,number,,female,intimate partner or family member,,,,231
2018,number,,female,intimate partner or family member,,,,204
2019,number,,female,intimate partner or family member,,,,187
2020,number,,female,intimate partner or family member,,,,225
2021,number,,female,intimate partner or family member,,,,207
2022,number,,female,intimate partner or family member,,,,198
2023,number,,female,intimate partner or family member,,,,253
2024,number,,female,intimate partner or family member,,,,203
2010,number,,male,intimate partner or family member,,,,111
2011,number,,male,intimate partner or family member,,,,90
2012,number,,male,intimate partner or family member,,,,105
2013,number,,male,intimate partner or family member,,,,84
2014,number,,male,intimate partner or family member,,,,99
2015,number,,male,intimate partner or family member,,,,83
2016,number,,male,intimate partner or family member,,,,87
2017,number,,male,intimate partner or family member,,,,105
2018,number,,male,intimate partner or family member,,,,106
2019,number,,male,intimate partner or family member,,,,95
2020,number,,male,intimate partner or family member,,,,107
2021,number,,male,intimate partner or family member,,,,79
2022,number,,male,intimate partner or family member,,,,73
2023,number,,male,intimate partner or family member,,,,88
2024,number,,male,intimate partner or family member,,,,101
2010,number,,,intimate partner,.,,,
2011,number,,,intimate partner,.,,,
2012,number,,,intimate partner,,,,133
2013,number,,,intimate partner,,,,175
2014,number,,,intimate partner,,,,197
2015,number,,,intimate partner,,,,163
2016,number,,,intimate partner,,,,181
2017,number,,,intimate partner,,,,189
2018,number,,,intimate partner,,,,155
2019,number,,,intimate partner,,,,156
2020,number,,,intimate partner,,,,177
2021,number,,,intimate partner,,,,135
2022,number,,,intimate partner,,,,158
2023,number,,,intimate partner,,,,183
2024,number,,,intimate partner,,,,164
2010,number,,female,intimate partner,.,,,
2011,number,,female,intimate partner,.,,,
2012,number,,female,intimate partner,,,,113
2013,number,,female,intimate partner,,,,146
2014,number,,female,intimate partner,,,,167
2015,number,,female,intimate partner,,,,139
2016,number,,female,intimate partner,,,,164
2017,number,,female,intimate partner,,,,153
2018,number,,female,intimate partner,,,,127
2019,number,,female,intimate partner,,,,123
2020,number,,female,intimate partner,,,,146
2021,number,,female,intimate partner,,,,121
2022,number,,female,intimate partner,,,,137
2023,number,,female,intimate partner,,,,159
2024,number,,female,intimate partner,,,,138
2010,number,,male,intimate partner,.,,,
2011,number,,male,intimate partner,.,,,
2012,number,,male,intimate partner,,,,20
2013,number,,male,intimate partner,,,,29
2014,number,,male,intimate partner,,,,30
2015,number,,male,intimate partner,,,,24
2016,number,,male,intimate partner,,,,17
2017,number,,male,intimate partner,,,,36
2018,number,,male,intimate partner,,,,28
2019,number,,male,intimate partner,,,,33
2020,number,,male,intimate partner,,,,31
2021,number,,male,intimate partner,,,,14
2022,number,,male,intimate partner,,,,21
2023,number,,male,intimate partner,,,,24
2024,number,,male,intimate partner,,,,26
2010,number,,,family member,.,,,
2011,number,,,family member,.,,,
2012,number,,,family member,,,,154
2013,number,,,family member,,,,133
2014,number,,,family member,,,,143
2015,number,,,family member,,,,130
2016,number,,,family member,,,,144
2017,number,,,family member,,,,147
2018,number,,,family member,,,,155
2019,number,,,family member,,,,126
2020,number,,,family member,,,,155
2021,number,,,family member,,,,151
2022,number,,,family member,,,,113
2023,number,,,family member,,,,158
2024,number,,,family member,,,,140
2010,number,,female,family member,.,,,
2011,number,,female,family member,.,,,
2012,number,,female,family member,,,,69
2013,number,,female,family member,,,,78
2014,number,,female,family member,,,,74
2015,number,,female,family member,,,,71
2016,number,,female,family member,,,,74
2017,number,,female,family member,,,,78
2018,number,,female,family member,,,,77
2019,number,,female,family member,,,,64
2020,number,,female,family member,,,,79
2021,number,,female,family member,,,,86
2022,number,,female,family member,,,,61
2023,number,,female,family member,,,,94
2024,number,,female,family member,,,,65
2010,number,,male,family member,.,,,
2011,number,,male,family member,.,,,
2012,number,,male,family member,,,,85
2013,number,,male,family member,,,,55
2014,number,,male,family member,,,,69
2015,number,,male,family member,,,,59
2016,number,,male,family member,,,,70
2017,number,,male,family member,,,,69
2018,number,,male,family member,,,,78
2019,number,,male,family member,,,,62
2020,number,,male,family member,,,,76
2021,number,,male,family member,,,,65
2022,number,,male,family member,,,,52
2023,number,,male,family member,,,,64
2024,number,,male,family member,,,,75
2010,percentage,,,,0,,,0.00097
2011,percentage,,,,0,,,0.00092
2012,percentage,,,,0,,,0.00082
2013,percentage,,,,0,,,0.00085
2014,percentage,,,,0,,,0.00088
2015,percentage,,,,0,,,0.00083
2016,percentage,,,,0,,,0.00117
2017,percentage,,,,0,,,0.00099
2018,percentage,,,,0,,,0.00096
2019,percentage,,,,0,,,0.00076
2020,percentage,,,,0,,,0.00095
2021,percentage,,,,0,,,0.00085
2022,percentage,,,,0,,,0.00083
2023,percentage,,,,0,,,0.00092
2024,percentage,,,,0,,,0.00093
2010,percentage,13 years and younger,,,0,,,0.00076
2011,percentage,13 years and younger,,,0,,,0.00080
2012,percentage,13 years and younger,,,0,,,0.00099
2013,percentage,13 years and younger,,,0,,,0.00073
2014,percentage,13 years and younger,,,0,,,0.00069
2015,percentage,13 years and younger,,,0,,,0.00067
2016,percentage,13 years and younger,,,0,,,0.00072
2017,percentage,13 years and younger,,,0,,,0.00070
2018,percentage,13 years and younger,,,0,,,0.00072
2019,percentage,13 years and younger,,,0,,,0.00047
2020,percentage,13 years and younger,,,0,,,0.00081
2021,percentage,13 years and younger,,,0,,,0.00085
2022,percentage,13 years and younger,,,0,,,0.00048
2023,percentage,13 years and younger,,,0,,,0.00066
2024,percentage,13 years and younger,,,0,,,0.00052
2010,percentage,14 to under 18 years,,,0,,,0.00068
2011,percentage,14 to under 18 years,,,0,,,0.00068
2012,percentage,14 to under 18 years,,,0,,,0.00015
2013,percentage,14 to under 18 years,,,0,,,0.00030
2014,percentage,14 to under 18 years,,,0,,,0.00038
2015,percentage,14 to under 18 years,,,0,,,0.00036
2016,percentage,14 to under 18 years,,,0,,,0.00090
2017,percentage,14 to under 18 years,,,0,,,0.00011
2018,percentage,14 to under 18 years,,,0,,,0.00037
2019,percentage,14 to under 18 years,,,0,,,0.00030
2020,percentage,14 to under 18 years,,,0,,,0.00033
2021,percentage,14 to under 18 years,,,0,,,0.00038
2022,percentage,14 to under 18 years,,,0,,,0.00046
2023,percentage,14 to under 18 years,,,0,,,0.00055
2024,percentage,14 to under 18 years,,,0,,,0.00048
2010,percentage,18 to under 21 years,,,0,,,0.00137
2011,percentage,18 to under 21 years,,,0,,,0.00114
2012,percentage,18 to under 21 years,,,0,,,0.00093
2013,percentage,18 to under 21 years,,,0,,,0.00061
2014,percentage,18 to under 21 years,,,0,,,0.00081
2015,percentage,18 to under 21 years,,,0,,,0.00070
2016,percentage,18 to under 21 years,,,0,,,0.00164
2017,percentage,18 to under 21 years,,,0,,,0.00062
2018,percentage,18 to under 21 years,,,0,,,0.00102
2019,percentage,18 to under 21 years,,,0,,,0.00064
2020,percentage,18 to under 21 years,,,0,,,0.00088
2021,percentage,18 to under 21 years,,,0,,,0.00082
2022,percentage,18 to under 21 years,,,0,,,0.00098
2023,percentage,18 to under 21 years,,,0,,,0.00075
2024,percentage,18 to under 21 years,,,0,,,0.00111
2010,percentage,21 to under 60 years,,,0,,,0.00101
2011,percentage,21 to under 60 years,,,0,,,0.00098
2012,percentage,21 to under 60 years,,,0,,,0.00083
2013,percentage,21 to under 60 years,,,0,,,0.00087
2014,percentage,21 to under 60 years,,,0,,,0.00094
2015,percentage,21 to under 60 years,,,0,,,0.00079
2016,percentage,21 to under 60 years,,,0,,,0.00122
2017,percentage,21 to under 60 years,,,0,,,0.00096
2018,percentage,21 to under 60 years,,,0,,,0.00103
2019,percentage,21 to under 60 years,,,0,,,0.00082
2020,percentage,21 to under 60 years,,,0,,,0.00089
2021,percentage,21 to under 60 years,,,0,,,0.00080
2022,percentage,21 to under 60 years,,,0,,,0.00079
2023,percentage,21 to under 60 years,,,0,,,0.00102
2024,percentage,21 to under 60 years,,,0,,,0.00098
2010,percentage,60 years and older,,,0,,,0.00097
2011,percentage,60 years and older,,,0,,,0.00086
2012,percentage,60 years and older,,,0,,,0.00083
2013,percentage,60 years and older,,,0,,,0.00097
2014,percentage,60 years and older,,,0,,,0.00096
2015,percentage,60 years and older,,,0,,,0.00109
2016,percentage,60 years and older,,,0,,,0.00128
2017,percentage,60 years and older,,,0,,,0.00136
2018,percentage,60 years and older,,,0,,,0.00100
2019,percentage,60 years and older,,,0,,,0.00085
2020,percentage,60 years and older,,,0,,,0.00122
2021,percentage,60 years and older,,,0,,,0.00100
2022,percentage,60 years and older,,,0,,,0.00108
2023,percentage,60 years and older,,,0,,,0.00094
2024,percentage,60 years and older,,,0,,,0.00106
2010,percentage,,female,,0,,,0.00094
2011,percentage,,female,,0,,,0.00082
2012,percentage,,female,,0,,,0.00072
2013,percentage,,female,,0,,,0.00080
2014,percentage,,female,,0,,,0.00082
2015,percentage,,female,,0,,,0.00079
2016,percentage,,female,,0,,,0.00113
2017,percentage,,female,,0,,,0.00091
2018,percentage,,female,,0,,,0.00088
2019,percentage,,female,,0,,,0.00066
2020,percentage,,female,,0,,,0.00086
2021,percentage,,female,,0,,,0.00081
2022,percentage,,female,,0,,,0.00083
2023,percentage,,female,,0,,,0.00089
2024,percentage,,female,,0,,,0.00080
2010,percentage,,male,,0,,,0.00100
2011,percentage,,male,,0,,,0.00102
2012,percentage,,male,,0,,,0.00092
2013,percentage,,male,,0,,,0.00090
2014,percentage,,male,,0,,,0.00095
2015,percentage,,male,,0,,,0.00088
2016,percentage,,male,,0,,,0.00122
2017,percentage,,male,,0,,,0.00107
2018,percentage,,male,,0,,,0.00104
2019,percentage,,male,,0,,,0.00086
2020,percentage,,male,,0,,,0.00105
2021,percentage,,male,,0,,,0.00089
2022,percentage,,male,,0,,,0.00083
2023,percentage,,male,,0,,,0.00096
2024,percentage,,male,,0,,,0.00107
2010,percentage,13 years and younger,female,,0,,,0.00075
2011,percentage,13 years and younger,female,,0,,,0.00054
2012,percentage,13 years and younger,female,,0,,,0.00088
2013,percentage,13 years and younger,female,,0,,,0.00084
2014,percentage,13 years and younger,female,,0,,,0.00054
2015,percentage,13 years and younger,female,,0,,,0.00055
2016,percentage,13 years and younger,female,,0,,,0.00065
2017,percentage,13 years and younger,female,,0,,,0.00060
2018,percentage,13 years and younger,female,,0,,,0.00064
2019,percentage,13 years and younger,female,,0,,,0.00036
2020,percentage,13 years and younger,female,,0,,,0.00090
2021,percentage,13 years and younger,female,,0,,,0.00090
2022,percentage,13 years and younger,female,,0,,,0.00052
2023,percentage,13 years and younger,female,,0,,,0.00074
2024,percentage,13 years and younger,female,,0,,,0.00038
2010,percentage,13 years and younger,male,,0,,,0.00077
2011,percentage,13 years and younger,male,,0,,,0.00104
2012,percentage,13 years and younger,male,,0,,,0.00109
2013,percentage,13 years and younger,male,,0,,,0.00062
2014,percentage,13 years and younger,male,,0,,,0.00084
2015,percentage,13 years and younger,male,,0,,,0.00077
2016,percentage,13 years and younger,male,,0,,,0.00078
2017,percentage,13 years and younger,male,,0,,,0.00079
2018,percentage,13 years and younger,male,,0,,,0.00081
2019,percentage,13 years and younger,male,,0,,,0.00058
2020,percentage,13 years and younger,male,,0,,,0.00072
2021,percentage,13 years and younger,male,,0,,,0.00080
2022,percentage,13 years and younger,male,,0,,,0.00044
2023,percentage,13 years and younger,male,,0,,,0.00059
2024,percentage,13 years and younger,male,,0,,,0.00065
2010,percentage,14 to under 18 years,female,,0,,,0.00089
2011,percentage,14 to under 18 years,female,,0,,,0.00062
2012,percentage,14 to under 18 years,female,,‒,,,0.00000
2013,percentage,14 to under 18 years,female,,0,,,0.00021
2014,percentage,14 to under 18 years,female,,0,,,0.00026
2015,percentage,14 to under 18 years,female,,0,,,0.00048
2016,percentage,14 to under 18 years,female,,0,,,0.00118
2017,percentage,14 to under 18 years,female,,0,,,5e-0500000
2018,percentage,14 to under 18 years,female,,0,,,0.00044
2019,percentage,14 to under 18 years,female,,0,,,0.00022
2020,percentage,14 to under 18 years,female,,0,,,0.00022
2021,percentage,14 to under 18 years,female,,0,,,0.00039
2022,percentage,14 to under 18 years,female,,0,,,0.00082
2023,percentage,14 to under 18 years,female,,0,,,0.00054
2024,percentage,14 to under 18 years,female,,0,,,0.00047
2010,percentage,14 to under 18 years,male,,0,,,0.00048
2011,percentage,14 to under 18 years,male,,0,,,0.00074
2012,percentage,14 to under 18 years,male,,0,,,0.00029
2013,percentage,14 to under 18 years,male,,0,,,0.00039
2014,percentage,14 to under 18 years,male,,0,,,0.00049
2015,percentage,14 to under 18 years,male,,0,,,0.00025
2016,percentage,14 to under 18 years,male,,0,,,0.00065
2017,percentage,14 to under 18 years,male,,0,,,0.00015
2018,percentage,14 to under 18 years,male,,0,,,0.00031
2019,percentage,14 to under 18 years,male,,0,,,0.00037
2020,percentage,14 to under 18 years,male,,0,,,0.00042
2021,percentage,14 to under 18 years,male,,0,,,0.00037
2022,percentage,14 to under 18 years,male,,0,,,0.00013
2023,percentage,14 to under 18 years,male,,0,,,0.00056
2024,percentage,14 to under 18 years,male,,0,,,0.00050
2010,percentage,18 to under 21 years,female,,0,,,0.00140
2011,percentage,18 to under 21 years,female,,0,,,0.00081
2012,percentage,18 to under 21 years,female,,0,,,0.00083
2013,percentage,18 to under 21 years,female,,0,,,0.00050
2014,percentage,18 to under 21 years,female,,0,,,0.00075
2015,percentage,18 to under 21 years,female,,0,,,0.00073
2016,percentage,18 to under 21 years,female,,0,,,0.00145
2017,percentage,18 to under 21 years,female,,0,,,0.00057
2018,percentage,18 to under 21 years,female,,0,,,0.00099
2019,percentage,18 to under 21 years,female,,0,,,0.00042
2020,percentage,18 to under 21 years,female,,0,,,0.00052
2021,percentage,18 to under 21 years,female,,0,,,0.00036
2022,percentage,18 to under 21 years,female,,0,,,0.00070
2023,percentage,18 to under 21 years,female,,0,,,0.00078
2024,percentage,18 to under 21 years,female,,0,,,0.00111
2010,percentage,18 to under 21 years,male,,0,,,0.00133
2011,percentage,18 to under 21 years,male,,0,,,0.00146
2012,percentage,18 to under 21 years,male,,0,,,0.00102
2013,percentage,18 to under 21 years,male,,0,,,0.00072
2014,percentage,18 to under 21 years,male,,0,,,0.00087
2015,percentage,18 to under 21 years,male,,0,,,0.00066
2016,percentage,18 to under 21 years,male,,0,,,0.00182
2017,percentage,18 to under 21 years,male,,0,,,0.00066
2018,percentage,18 to under 21 years,male,,0,,,0.00105
2019,percentage,18 to under 21 years,male,,0,,,0.00085
2020,percentage,18 to under 21 years,male,,0,,,0.00121
2021,percentage,18 to under 21 years,male,,0,,,0.00125
2022,percentage,18 to under 21 years,male,,0,,,0.00124
2023,percentage,18 to under 21 years,male,,0,,,0.00072
2024,percentage,18 to under 21 years,male,,0,,,0.00110
2010,percentage,21 to under 60 years,female,,0,,,0.00093
2011,percentage,21 to under 60 years,female,,0,,,0.00084
2012,percentage,21 to under 60 years,female,,0,,,0.00065
2013,percentage,21 to under 60 years,female,,0,,,0.00074
2014,percentage,21 to under 60 years,female,,0,,,0.00084
2015,percentage,21 to under 60 years,female,,0,,,0.00066
2016,percentage,21 to under 60 years,female,,0,,,0.00111
2017,percentage,21 to under 60 years,female,,0,,,0.00083
2018,percentage,21 to under 60 years,female,,0,,,0.00087
2019,percentage,21 to under 60 years,female,,0,,,0.00069
2020,percentage,21 to under 60 years,female,,0,,,0.00068
2021,percentage,21 to under 60 years,female,,0,,,0.00068
2022,percentage,21 to under 60 years,female,,0,,,0.00066
2023,percentage,21 to under 60 years,female,,0,,,0.00089
2024,percentage,21 to under 60 years,female,,0,,,0.00073
2010,percentage,21 to under 60 years,male,,0,,,0.00110
2011,percentage,21 to under 60 years,male,,0,,,0.00112
2012,percentage,21 to under 60 years,male,,0,,,0.00101
2013,percentage,21 to under 60 years,male,,0,,,0.00100
2014,percentage,21 to under 60 years,male,,0,,,0.00103
2015,percentage,21 to under 60 years,male,,0,,,0.00091
2016,percentage,21 to under 60 years,male,,0,,,0.00132
2017,percentage,21 to under 60 years,male,,0,,,0.00108
2018,percentage,21 to under 60 years,male,,0,,,0.00119
2019,percentage,21 to under 60 years,male,,0,,,0.00094
2020,percentage,21 to under 60 years,male,,0,,,0.00110
2021,percentage,21 to under 60 years,male,,0,,,0.00092
2022,percentage,21 to under 60 years,male,,0,,,0.00093
2023,percentage,21 to under 60 years,male,,0,,,0.00115
2024,percentage,21 to under 60 years,male,,0,,,0.00123
2010,percentage,60 years and older,female,,0,,,0.00101
2011,percentage,60 years and older,female,,0,,,0.00093
2012,percentage,60 years and older,female,,0,,,0.00089
2013,percentage,60 years and older,female,,0,,,0.00100
2014,percentage,60 years and older,female,,0,,,0.00098
2015,percentage,60 years and older,female,,0,,,0.00115
2016,percentage,60 years and older,female,,0,,,0.00130
2017,percentage,60 years and older,female,,0,,,0.00133
2018,percentage,60 years and older,female,,0,,,0.00104
2019,percentage,60 years and older,female,,0,,,0.00082
2020,percentage,60 years and older,female,,0,,,0.00124
2021,percentage,60 years and older,female,,0,,,0.00108
2022,percentage,60 years and older,female,,0,,,0.00124
2023,percentage,60 years and older,female,,0,,,0.00099
2024,percentage,60 years and older,female,,0,,,0.00107
2010,percentage,60 years and older,male,,0,,,0.00093
2011,percentage,60 years and older,male,,0,,,0.00077
2012,percentage,60 years and older,male,,0,,,0.00076
2013,percentage,60 years and older,male,,0,,,0.00093
2014,percentage,60 years and older,male,,0,,,0.00093
2015,percentage,60 years and older,male,,0,,,0.00102
2016,percentage,60 years and older,male,,0,,,0.00125
2017,percentage,60 years and older,male,,0,,,0.00140
2018,percentage,60 years and older,male,,0,,,0.00096
2019,percentage,60 years and older,male,,0,,,0.00089
2020,percentage,60 years and older,male,,0,,,0.00120
2021,percentage,60 years and older,male,,0,,,0.00091
2022,percentage,60 years and older,male,,0,,,0.00089
2023,percentage,60 years and older,male,,0,,,0.00088
2024,percentage,60 years and older,male,,0,,,0.00105
