Year,Units,type of harassment,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2018,number,sexual harassment,60 years and older,,r,,,809
2019,number,sexual harassment,60 years and older,,r,,,738
2020,number,sexual harassment,60 years and older,,r,,,797
2021,number,sexual harassment,60 years and older,,|,r,,790
2022,number,sexual harassment,60 years and older,,r,,,786
2023,number,sexual harassment,60 years and older,,r,,,909
2024,number,sexual harassment,60 years and older,,,,,917
2010,number,sexual harassment,60 years and older,female,,,,592
2011,number,sexual harassment,60 years and older,female,,,,618
2012,number,sexual harassment,60 years and older,female,,,,626
2013,number,sexual harassment,60 years and older,female,,,,668
2014,number,sexual harassment,60 years and older,female,,,,638
2015,number,sexual harassment,60 years and older,female,,,,671
2016,number,sexual harassment,60 years and older,female,,,,702
2017,number,sexual harassment,60 years and older,female,r,,,658
2018,number,sexual harassment,60 years and older,female,r,,,689
2019,number,sexual harassment,60 years and older,female,r,,,662
2020,number,sexual harassment,60 years and older,female,r,,,676
2021,number,sexual harassment,60 years and older,female,|,r,,689
2022,number,sexual harassment,60 years and older,female,r,,,671
2023,number,sexual harassment,60 years and older,female,r,,,744
2024,number,sexual harassment,60 years and older,female,,,,747
2010,number,sexual harassment,60 years and older,male,,,,71
2011,number,sexual harassment,60 years and older,male,,,,95
2012,number,sexual harassment,60 years and older,male,,,,78
2013,number,sexual harassment,60 years and older,male,,,,64
2014,number,sexual harassment,60 years and older,male,,,,78
2015,number,sexual harassment,60 years and older,male,,,,97
2016,number,sexual harassment,60 years and older,male,,,,78
2017,number,sexual harassment,60 years and older,male,r,,,92
2018,number,sexual harassment,60 years and older,male,r,,,120
2019,number,sexual harassment,60 years and older,male,r,,,76
2020,number,sexual harassment,60 years and older,male,r,,,121
2021,number,sexual harassment,60 years and older,male,|,r,,101
2022,number,sexual harassment,60 years and older,male,r,,,115
2023,number,sexual harassment,60 years and older,male,r,,,165
2024,number,sexual harassment,60 years and older,male,,,,170
2010,"per 100,000 inhabitants",non-sexual harassment,,,,,,35.3
2011,"per 100,000 inhabitants",non-sexual harassment,,,,,,32.9
2012,"per 100,000 inhabitants",non-sexual harassment,,,,,,32.2
2013,"per 100,000 inhabitants",non-sexual harassment,,,|,,,31.7
2014,"per 100,000 inhabitants",non-sexual harassment,,,,,,28.9
2015,"per 100,000 inhabitants",non-sexual harassment,,,,,,25.9
2016,"per 100,000 inhabitants",non-sexual harassment,,,,,,24.3
2017,"per 100,000 inhabitants",non-sexual harassment,,,,,,23.9
2018,"per 100,000 inhabitants",non-sexual harassment,,,,,,24.5
2019,"per 100,000 inhabitants",non-sexual harassment,,,,,,24.3
2020,"per 100,000 inhabitants",non-sexual harassment,,,,,,25.2
2021,"per 100,000 inhabitants",non-sexual harassment,,,,,,26.6
2022,"per 100,000 inhabitants",non-sexual harassment,,,,,,27.7
2023,"per 100,000 inhabitants",non-sexual harassment,,,,,,29.8
2024,"per 100,000 inhabitants",non-sexual harassment,,,|,,,32.0
2010,"per 100,000 inhabitants",non-sexual harassment,,female,,,,54.9
2011,"per 100,000 inhabitants",non-sexual harassment,,female,,,,51.4
2012,"per 100,000 inhabitants",non-sexual harassment,,female,,,,51.0
2013,"per 100,000 inhabitants",non-sexual harassment,,female,|,,,49.7
2014,"per 100,000 inhabitants",non-sexual harassment,,female,,,,45.3
2015,"per 100,000 inhabitants",non-sexual harassment,,female,,,,41.0
2016,"per 100,000 inhabitants",non-sexual harassment,,female,,,,38.7
2017,"per 100,000 inhabitants",non-sexual harassment,,female,,,,38.3
2018,"per 100,000 inhabitants",non-sexual harassment,,female,,,,39.2
2019,"per 100,000 inhabitants",non-sexual harassment,,female,,,,39.1
2020,"per 100,000 inhabitants",non-sexual harassment,,female,,,,40.3
2021,"per 100,000 inhabitants",non-sexual harassment,,female,,,,42.0
2022,"per 100,000 inhabitants",non-sexual harassment,,female,,,,44.2
2023,"per 100,000 inhabitants",non-sexual harassment,,female,,,,46.9
2024,"per 100,000 inhabitants",non-sexual harassment,,female,|,,,50.6
2010,"per 100,000 inhabitants",non-sexual harassment,,male,,,,14.9
2011,"per 100,000 inhabitants",non-sexual harassment,,male,,,,13.6
2012,"per 100,000 inhabitants",non-sexual harassment,,male,,,,12.8
2013,"per 100,000 inhabitants",non-sexual harassment,,male,|,,,12.9
2014,"per 100,000 inhabitants",non-sexual harassment,,male,,,,11.7
2015,"per 100,000 inhabitants",non-sexual harassment,,male,,,,10.4
2016,"per 100,000 inhabitants",non-sexual harassment,,male,,,,9.5
2017,"per 100,000 inhabitants",non-sexual harassment,,male,,,,9.2
2018,"per 100,000 inhabitants",non-sexual harassment,,male,,,,9.4
2019,"per 100,000 inhabitants",non-sexual harassment,,male,,,,9.2
2020,"per 100,000 inhabitants",non-sexual harassment,,male,,,,9.8
2021,"per 100,000 inhabitants",non-sexual harassment,,male,,,,10.7
2022,"per 100,000 inhabitants",non-sexual harassment,,male,,,,10.8
2023,"per 100,000 inhabitants",non-sexual harassment,,male,,,,12.1
2024,"per 100,000 inhabitants",non-sexual harassment,,male,|,,,12.9
2010,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,,,,,4.3
2011,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,,,,,4.1
2012,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,,,,,4.3
2013,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,,|,,,4.3
2014,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,,,,,3.8
2015,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,,,,,3.5
2016,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,,,,,3.3
2017,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,,,,,3.3
2018,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,,,,,3.3
2019,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,,,,,3.8
2020,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,,,,,3.6
2021,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,,,,,3.8
2022,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,,,,,4.2
2023,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,,,,,5.2
2024,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,,|,,,6.3
2010,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,female,,,,5.5
2011,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,female,,,,5.3
2012,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,female,,,,6.4
2013,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,female,|,,,5.7
2014,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,female,,,,5.4
2015,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,female,,,,4.6
2016,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,female,,,,4.5
2017,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,female,,,,4.2
2018,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,female,,,,4.7
2019,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,female,,,,4.7
2020,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,female,,,,4.4
2021,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,female,,,,5.1
2022,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,female,,,,5.9
2023,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,female,,,,6.5
2024,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,female,|,,,7.6
2010,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,male,,,,3.3
2011,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,male,,,,2.9
2012,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,male,,,,2.4
2013,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,male,|,,,3.0
2014,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,male,,,,2.3
2015,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,male,,,,2.4
2016,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,male,,,,2.2
2017,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,male,,,,2.4
2018,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,male,,,,2.0
2019,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,male,,,,2.9
2020,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,male,,,,2.8
2021,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,male,,,,2.5
2022,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,male,,,,2.6
2023,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,male,,,,3.9
2024,"per 100,000 inhabitants",non-sexual harassment,13 years and younger,male,|,,,5.0
2010,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,,,,,39.8
2011,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,,,,,38.3
2012,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,,,,,34.3
2013,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,,|,,,35.7
2014,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,,,,,33.0
2015,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,,,,,25.5
2016,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,,,,,25.1
2017,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,,,,,26.1
2018,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,,,,,25.6
2019,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,,,,,26.8
2020,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,,,,,24.8
2021,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,,,,,26.8
2022,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,,,,,27.3
2023,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,,,,,29.9
2024,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,,|,,,32.9
2010,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,female,,,,71.8
2011,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,female,,,,69.7
2012,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,female,,,,48.2
2013,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,female,|,,,65.1
2014,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,female,,,,60.2
2015,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,female,,,,45.9
2016,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,female,,,,46.0
2017,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,female,,,,47.2
2018,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,female,,,,48.2
2019,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,female,,,,47.6
2020,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,female,,,,42.5
2021,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,female,,,,46.2
2022,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,female,,,,47.0
2023,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,female,,,,52.3
2024,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,female,|,,,54.9
2010,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,male,,,,9.5
2011,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,male,,,,8.5
2012,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,male,,,,5.1
2013,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,male,|,,,7.8
2014,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,male,,,,7.3
2015,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,male,,,,6.1
2016,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,male,,,,5.8
2017,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,male,,,,6.7
2018,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,male,,,,4.6
2019,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,male,,,,7.4
2020,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,male,,,,8.1
2021,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,male,,,,8.5
2022,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,male,,,,8.8
2023,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,male,,,,8.8
2024,"per 100,000 inhabitants",non-sexual harassment,14 to under 18 years,male,|,,,12.4
2010,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,,,,,87.1
2011,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,,,,,80.7
2012,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,,,,,78.4
2013,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,,|,,,71.7
2014,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,,,,,68.0
2015,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,,,,,56.5
2016,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,,,,,48.0
2017,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,,,,,50.6
2018,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,,,,,55.5
2019,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,,,,,49.4
2020,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,,,,,54.7
2021,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,,,,,56.7
2022,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,,,,,55.0
2023,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,,,,,58.1
2024,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,,|,,,65.8
2010,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,female,,,,158.1
2011,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,female,,,,146.2
2012,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,female,,,,142.5
2013,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,female,|,,,131.9
2014,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,female,,,,125.1
2015,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,female,,,,105.4
2016,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,female,,,,91.8
2017,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,female,,,,96.9
2018,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,female,,,,104.3
2019,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,female,,,,93.4
2020,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,female,,,,103.6
2021,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,female,,,,103.8
2022,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,female,,,,101.3
2023,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,female,,,,103.6
2024,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,female,|,,,119.4
2010,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,male,,,,19.4
2011,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,male,,,,18.3
2012,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,male,,,,17.4
2013,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,male,|,,,14.5
2014,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,male,,,,14.2
2015,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,male,,,,10.7
2016,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,male,,,,8.5
2017,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,male,,,,9.0
2018,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,male,,,,11.8
2019,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,male,,,,9.6
2020,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,male,,,,10.1
2021,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,male,,,,13.1
2022,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,male,,,,11.8
2023,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,male,,,,15.7
2024,"per 100,000 inhabitants",non-sexual harassment,18 to under 21 years,male,|,,,16.3
2010,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,,,,,52.0
2011,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,,,,,48.7
2012,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,,,,,48.1
2013,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,,|,,,47.8
2014,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,,,,,43.4
2015,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,,,,,37.6
2016,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,,,,,37.3
2017,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,,,,,36.8
2018,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,,,,,37.7
2019,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,,,,,37.8
2020,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,,,,,39.8
2021,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,,,,,42.2
2022,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,,,,,44.5
2023,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,,,,,47.8
2024,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,,|,,,51.5
2010,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,female,,,,83.9
2011,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,female,,,,79.1
2012,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,female,,,,78.9
2013,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,female,|,,,77.6
2014,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,female,,,,70.4
2015,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,female,,,,61.5
2016,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,female,,,,61.7
2017,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,female,,,,60.9
2018,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,female,,,,62.6
2019,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,female,,,,63.2
2020,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,female,,,,66.0
2021,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,female,,,,69.4
2022,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,female,,,,73.8
2023,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,female,,,,78.6
2024,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,female,|,,,85.4
2010,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,male,,,,20.9
2011,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,male,,,,19.2
2012,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,male,,,,18.2
2013,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,male,|,,,18.6
2014,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,male,,,,16.9
2015,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,male,,,,14.3
2016,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,male,,,,13.7
2017,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,male,,,,13.5
2018,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,male,,,,13.6
2019,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,male,,,,13.3
2020,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,male,,,,14.4
2021,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,male,,,,15.8
2022,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,male,,,,16.1
2023,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,male,,,,17.8
2024,"per 100,000 inhabitants",non-sexual harassment,21 to under 60 years,male,|,,,18.7
2010,"per 100,000 inhabitants",non-sexual harassment,60 years and older,,,,,7.8
2011,"per 100,000 inhabitants",non-sexual harassment,60 years and older,,,,,7.0
2012,"per 100,000 inhabitants",non-sexual harassment,60 years and older,,,,,6.9
2013,"per 100,000 inhabitants",non-sexual harassment,60 years and older,,|,,,6.6
2014,"per 100,000 inhabitants",non-sexual harassment,60 years and older,,,,,6.4
2015,"per 100,000 inhabitants",non-sexual harassment,60 years and older,,,,,5.7
2016,"per 100,000 inhabitants",non-sexual harassment,60 years and older,,,,,5.6
2017,"per 100,000 inhabitants",non-sexual harassment,60 years and older,,,,,5.2
2018,"per 100,000 inhabitants",non-sexual harassment,60 years and older,,,,,5.4
2019,"per 100,000 inhabitants",non-sexual harassment,60 years and older,,,,,5.4
2020,"per 100,000 inhabitants",non-sexual harassment,60 years and older,,,,,5.4
2021,"per 100,000 inhabitants",non-sexual harassment,60 years and older,,,,,5.9
2022,"per 100,000 inhabitants",non-sexual harassment,60 years and older,,,,,6.4
2023,"per 100,000 inhabitants",non-sexual harassment,60 years and older,,,,,7.1
2024,"per 100,000 inhabitants",non-sexual harassment,60 years and older,,|,,,7.1
2010,"per 100,000 inhabitants",non-sexual harassment,60 years and older,female,,,,8.2
2011,"per 100,000 inhabitants",non-sexual harassment,60 years and older,female,,,,7.3
2012,"per 100,000 inhabitants",non-sexual harassment,60 years and older,female,,,,7.5
2013,"per 100,000 inhabitants",non-sexual harassment,60 years and older,female,|,,,7.5
2014,"per 100,000 inhabitants",non-sexual harassment,60 years and older,female,,,,7.3
2015,"per 100,000 inhabitants",non-sexual harassment,60 years and older,female,,,,6.7
2016,"per 100,000 inhabitants",non-sexual harassment,60 years and older,female,,,,6.3
2017,"per 100,000 inhabitants",non-sexual harassment,60 years and older,female,,,,6.3
2018,"per 100,000 inhabitants",non-sexual harassment,60 years and older,female,,,,6.2
2019,"per 100,000 inhabitants",non-sexual harassment,60 years and older,female,,,,6.5
2020,"per 100,000 inhabitants",non-sexual harassment,60 years and older,female,,,,6.5
2021,"per 100,000 inhabitants",non-sexual harassment,60 years and older,female,,,,6.9
2022,"per 100,000 inhabitants",non-sexual harassment,60 years and older,female,,,,7.7
2023,"per 100,000 inhabitants",non-sexual harassment,60 years and older,female,,,,8.4
2024,"per 100,000 inhabitants",non-sexual harassment,60 years and older,female,|,,,8.3
2010,"per 100,000 inhabitants",non-sexual harassment,60 years and older,male,,,,7.2
2011,"per 100,000 inhabitants",non-sexual harassment,60 years and older,male,,,,6.5
2012,"per 100,000 inhabitants",non-sexual harassment,60 years and older,male,,,,6.1
2013,"per 100,000 inhabitants",non-sexual harassment,60 years and older,male,|,,,5.6
2014,"per 100,000 inhabitants",non-sexual harassment,60 years and older,male,,,,5.3
2015,"per 100,000 inhabitants",non-sexual harassment,60 years and older,male,,,,4.5
2016,"per 100,000 inhabitants",non-sexual harassment,60 years and older,male,,,,4.6
2017,"per 100,000 inhabitants",non-sexual harassment,60 years and older,male,,,,3.8
2018,"per 100,000 inhabitants",non-sexual harassment,60 years and older,male,,,,4.4
2019,"per 100,000 inhabitants",non-sexual harassment,60 years and older,male,,,,4.1
2020,"per 100,000 inhabitants",non-sexual harassment,60 years and older,male,,,,4.1
2021,"per 100,000 inhabitants",non-sexual harassment,60 years and older,male,,,,4.7
2022,"per 100,000 inhabitants",non-sexual harassment,60 years and older,male,,,,4.8
2023,"per 100,000 inhabitants",non-sexual harassment,60 years and older,male,,,,5.4
2024,"per 100,000 inhabitants",non-sexual harassment,60 years and older,male,|,,,5.6
2010,"per 100,000 inhabitants",sexual harassment,,,,,,9.2
2011,"per 100,000 inhabitants",sexual harassment,,,,,,9.8
2012,"per 100,000 inhabitants",sexual harassment,,,,,,10.1
2013,"per 100,000 inhabitants",sexual harassment,,,|,,,10.1
2014,"per 100,000 inhabitants",sexual harassment,,,,,,10.3
2015,"per 100,000 inhabitants",sexual harassment,,,,,,10.2
2016,"per 100,000 inhabitants",sexual harassment,,,,,,10.5
2017,"per 100,000 inhabitants",sexual harassment,,,,,,10.1
2018,"per 100,000 inhabitants",sexual harassment,,,,,,10.6
2019,"per 100,000 inhabitants",sexual harassment,,,,,,9.7
2020,"per 100,000 inhabitants",sexual harassment,,,,,,11.2
2021,"per 100,000 inhabitants",sexual harassment,,,|,,,10.9
2022,"per 100,000 inhabitants",sexual harassment,,,,,,11.6
2023,"per 100,000 inhabitants",sexual harassment,,,,,,12.1
2024,"per 100,000 inhabitants",sexual harassment,,,|,,,12.9
2010,"per 100,000 inhabitants",sexual harassment,,female,,,,15.9
2011,"per 100,000 inhabitants",sexual harassment,,female,,,,16.9
2012,"per 100,000 inhabitants",sexual harassment,,female,,,,17.8
2013,"per 100,000 inhabitants",sexual harassment,,female,|,,,17.7
2014,"per 100,000 inhabitants",sexual harassment,,female,,,,17.9
2015,"per 100,000 inhabitants",sexual harassment,,female,,,,17.6
2016,"per 100,000 inhabitants",sexual harassment,,female,,,,18.1
2017,"per 100,000 inhabitants",sexual harassment,,female,,,,17.4
2018,"per 100,000 inhabitants",sexual harassment,,female,,,,18.2
2019,"per 100,000 inhabitants",sexual harassment,,female,,,,16.3
2020,"per 100,000 inhabitants",sexual harassment,,female,,,,18.9
2021,"per 100,000 inhabitants",sexual harassment,,female,|,,,18.2
2022,"per 100,000 inhabitants",sexual harassment,,female,,,,19.3
2023,"per 100,000 inhabitants",sexual harassment,,female,,,,19.7
2024,"per 100,000 inhabitants",sexual harassment,,female,|,,,20.9
2010,"per 100,000 inhabitants",sexual harassment,,male,,,,2.2
2011,"per 100,000 inhabitants",sexual harassment,,male,,,,2.4
2012,"per 100,000 inhabitants",sexual harassment,,male,,,,2.3
2013,"per 100,000 inhabitants",sexual harassment,,male,|,,,2.3
2014,"per 100,000 inhabitants",sexual harassment,,male,,,,2.5
2015,"per 100,000 inhabitants",sexual harassment,,male,,,,2.4
2016,"per 100,000 inhabitants",sexual harassment,,male,,,,2.7
2017,"per 100,000 inhabitants",sexual harassment,,male,,,,2.6
2018,"per 100,000 inhabitants",sexual harassment,,male,,,,2.9
2019,"per 100,000 inhabitants",sexual harassment,,male,,,,2.9
2020,"per 100,000 inhabitants",sexual harassment,,male,,,,3.3
2021,"per 100,000 inhabitants",sexual harassment,,male,|,,,3.3
2022,"per 100,000 inhabitants",sexual harassment,,male,,,,3.6
2023,"per 100,000 inhabitants",sexual harassment,,male,,,,4.1
2024,"per 100,000 inhabitants",sexual harassment,,male,|,,,4.7
2010,"per 100,000 inhabitants",sexual harassment,13 years and younger,,‒,,,0.0
2011,"per 100,000 inhabitants",sexual harassment,13 years and younger,,‒,,,0.0
2012,"per 100,000 inhabitants",sexual harassment,13 years and younger,,‒,,,0.0
2013,"per 100,000 inhabitants",sexual harassment,13 years and younger,,‒,|,,0.0
2014,"per 100,000 inhabitants",sexual harassment,13 years and younger,,‒,,,0.0
2015,"per 100,000 inhabitants",sexual harassment,13 years and younger,,‒,,,0.0
2016,"per 100,000 inhabitants",sexual harassment,13 years and younger,,‒,,,0.0
2017,"per 100,000 inhabitants",sexual harassment,13 years and younger,,‒,,,0.0
2018,"per 100,000 inhabitants",sexual harassment,13 years and younger,,‒,,,0.0
2019,"per 100,000 inhabitants",sexual harassment,13 years and younger,,‒,,,0.0
2020,"per 100,000 inhabitants",sexual harassment,13 years and younger,,‒,,,0.0
2021,"per 100,000 inhabitants",sexual harassment,13 years and younger,,|,,,0.4
2022,"per 100,000 inhabitants",sexual harassment,13 years and younger,,,,,1.3
